,SAMPLE_ID,BORO,BFE_DAY,ROUTE,SPA_DIR,LVTIME,ARRTIME,MILEAGE,ORIGIN,DESTINATION,TRIP_TYPE,LAT_O,LONG_O,LAT_D,LONG_D,BEF_SRT_TIME,BEF_SRT_DEST_TIME,BEF_SPA_DIR,BEF_LAT_O,BEF_LONG_D,RET_SRT_TIME,RET_SRT_DEST_TIME,RET_SPA_DIR,DURATION,SWITCH
1070,50267,BX,WKD,BX20,SB,1757,1820,3.359,HENRY HUDSON PKY W / W 246 ST,BROADWAY / W 207 ST,Local,40.893314000000004,-73.90853,40.867702,-73.921,1715.0,1739.0,NB,40.868137,-73.90791999999999,1845.0,1907.0,NB,22.0,0
1071,50268,Q,WKD,Q60,WB,1630,1802,9.703,94 AVE / SUTPHIN BLVD,E 60 ST / 2 AV,Local,40.699177,-73.80681,40.761215,-73.963646,1408.0,1531.0,EB,40.76125,-73.80681,1826.0,1947.0,EB,81.0,0
1072,50269,B,WKD,B64,NB,620,704,6.69,STILLWELL AV / MERMAID AV,SHORE RD / MACKAY PL,Local,40.577057,-73.98109000000001,40.637074,-74.03609,500.0,537.0,SB,40.637203,-73.98099,727.0,822.0,SB,55.0,0
1073,50270,B,WKD,B3,WB,1330,1422,5.351,AV U / E 71 ST,25 AV / HARWAY AV,Local,40.619811999999996,-73.90773,40.592834,-73.99252,1221.0,1311.0,EB,40.593025,-73.907265,1438.0,1535.0,EB,57.0,0
1074,50271,Q,WKD,Q6,SB,710,746,5.193,165 ST TERM / Q6 STAND,EASTERN RD / BLDG 77 HALMAR,Local,40.707091999999996,-73.79553,40.652570000000004,-73.7655,615.0,654.0,NB,40.652640000000005,-73.79544,805.0,846.0,NB,41.0,0
1075,50272,BX,WKD,BX23,SB,918,953,6.5360000000000005,BRUCKNER BL / WILKINSON AV,BRUCKNER BL / WILKINSON AV,Local,40.852505,-73.827,40.852364,-73.82704,823.0,857.0,NB,40.852364,-73.827,1015.0,1045.0,NB,30.0,0
1076,50273,BX,WKD,BX36,WB,1740,1901,7.454,RANDALL AV / OLMSTEAD AV,W 179 ST / BROADWAY,Local,40.818676,-73.85155999999999,40.849033,-73.93731,1554.0,1719.0,EB,40.849113,-73.85163,1923.0,2030.0,EB,67.0,0
1077,50274,Q,WKD,Q23,NB,715,817,7.35,UNION TPK / CRESCENT APARTMENTS,DITMARS BL / 102 ST,Local,40.70705,-73.85428,40.76878,-73.86853,609.0,655.0,SB,40.76872,-73.85412600000001,838.0,933.0,SB,55.0,0
1078,50275,M,WKD,M100,SB,1435,1609,7.434,BROADWAY / W 219 ST,E 127 ST / 2 AV,Local,40.87177,-73.91309,40.80406,-73.93278000000001,1253.0,1415.0,NB,40.80404,-73.9128,1628.0,1755.0,NB,87.0,0
1079,50276,BX,WKD,BX13,EB,1320,1351,3.005,W 178 ST / FT WASHINGTON AV,RIVER AV / E 149 ST,Local,40.848490000000005,-73.93856,40.81969,-73.93004599999999,1229.0,1258.0,WB,40.820633,-73.93775,1424.0,1453.0,WB,29.0,0
1080,50277,Q,WKD,Q23,NB,1651,1800,7.35,UNION TPK / CRESCENT APARTMENTS,DITMARS BL / 102 ST,Local,40.70705,-73.85428,40.76878,-73.86853,1533.0,1633.0,SB,40.76872,-73.85412600000001,1823.0,1921.0,SB,58.0,0
1081,50278,BX,WKD,BX35,EB,1648,1733,3.6460000000000004,W 179 ST / BROADWAY,W FARMS RD / WESTCHESTER AV,Local,40.848953,-73.936874,40.825379999999996,-73.89126,1547.0,1633.0,WB,40.82497,-73.93678,1753.0,1832.0,WB,39.0,0
